"UPC","Item","Department","Quantity on Hand","Total Cost"
"041331037341","Sal Kosher","General Food","0",""
"041331037761","Goya: Seasoning w/ Coriander & Annatto","General Food","10",""
"041331037778","Sazón Goya: Seasoning w/ Saffron","General Food","14",""
"041331037785","Goya: Seasoning w/o Annatto","General Food","9",""
"041331037792","Goya:Sazon, Econo Pak","General Food","16",""
"041331037822","Sanzon Goya","General Food","23",""
"041331037846","Goya: Seasoning w/ Saffron","General Food","30",""
"041331037877","La Vina Red Cooking Wine","General Food","2",""
"041331038027","Goya Sazonador Total","General Food","6",""
"041331038041","Goya:Cooking Wine, Dry White","General Food","3",""
"041331038058","Goya Cooking Wine, Red Wine","General Food","10",""
"041331038089","Goya Cooking Wine","General Food","12",""
"041331038225","Goya Adobo","General Food","17",""
"041331038270","Goya: All Purpose Seasoning with Pepper","General Food","10",""
"041331038287","Goya Adobo with Pepper","General Food","0",""
"041331038294","Goya Adobo without Pepper","General Food","8",""
"041331038300","Goya:All Purpose Seasoning without Pepper","General Food","13",""
"041331038430","Goya:All Purpose Seasoning","General Food","10",""
"041331038447","Goya All Purpose Seasoning","General Food","11",""
"041331038904","Gota Sea Salt","General Food","0",""
"041331039123","Goya:Garlic, Minced","General Food","6",""
"041331039284","Goya Fancy Pimientos","General Food","18",""
"041331039314","Goya Apple Cider Vinegar","General Food","14",""
"041331039338","Goya Apple Cider Vinegar","General Food","9",""
"041331039352","Goya Destilled White Vinegar","General Food","-2",""
"041331039376","Goya White Vinegar, Distilled","General Food","-20",""
"041331039383","Goya Destilled Vinegar","General Food","0",""
"041331039420","Goya:Soda Crackers","Snacks","1",""
"041331039536","Goya Tomato Sauce Spanish Style","General Food","2",""
"041331039550","Goya:Chocolate, Sweet","General Food","7",""
"041331039611","Goya: Tomato Sauce","General Food","38",""
"041331039635","Goya Tomato Sauce","General Food","19",""
"041331039680","Goya:Sliced Peaches in Heavy Syrup","General Food","11",""
"041331039697","Goya Paste, Tomato","General Food","20",""
"041331039710","Goya Fidelini","General Food","14",""
"041331039734","Goya Fidelini","General Food","11",""
"041331039758","Goya Angel Hair, Enriched","General Food","1",""
"041331039765","Goya Angel Hair","General Food","20",""
"041331039857","Goya Malta","Drinks","-29",""
"041331039956","Goya craker soda","Snacks","2","$16.98"
"041331040075","Malta Goya","Drinks","20",""
"041331047111","Platain chips","General Food","1",""
"041331049429","Goya Maria Cookies","Snacks","23",""
"041331049436","Goya Maria Cookies","Snacks","0",""
"041331049474","Goya Palmeritas","Snacks","2","$2.98"
"041331049672","Goya Palmeritas","Snacks","4",""
"041331049689","Goya Chocalate marias cookies","Snacks","-18",""
"041331049696","Goya Maria Cookies Chocolate","Snacks","1",""
"041331049900","Goya Maria Cookies Sugar Free","Snacks","7","$16.73"
"041331050234","Goya Natural Sugar","General Food","7","$31.43"
"041331050241","GOYA TURBINADO SUGAR","General Food","0",""
"041331050579","Goya Quinua Seeds","General Food","2",""
"041331050777","Goya Enriched White Corn Meal Masarepa","General Food","19",""
"041331050784","Goya:Yellow Corn Meal, Enriched","General Food","3",""
"041331050807","Goya:Bulgar Wheat, Coarse","General Food","0",""
"041331050937","Goya:Tapioca Starch","General Food","11",""
"041331050999","Goya Corn Meal, Coarse Yellow","General Food","13",""
"041331051002","Goya:Fine Yellow Corn Meal","General Food","0",""
"041331051040","Goya Wheat Flour, Enriched","General Food","-2",""
"041331051064","Harina de arroz","General Food","13",""
"041331059275","Tri-Color Quinoa","General Food","6",""
"041331059299","CHIA A NATURAL SUPER GRAIN","General Food","1",""
"041331064323","Goya carnaval strawberry","Snacks","8",""
"041331064330","Carnabal chocolate","Snacks","10",""
"041331074759","Arina pan molido","General Food","9",""
"041331074766","pan molido goya","General Food","6",""
"041331090469","Goya:Ripe Plantains","Frozen","8",""
"041331090476","Goya:Fried Plantains","Frozen","0",""
"041331090513","Goya Cassava Yuca","Frozen","2",""
"041331090520","Goya Yuca Cassava","Frozen","4",""
"041331090599","Goya Corn On The Cob","Frozen","13",""
"041331090605","Goya Discos Para Empanadas","Frozen","17",""
"041331090742","Goya Mixed Vegetables","Frozen","1",""
"041331090797","Goya Fruta Coconut","Frozen","4",""
"041331090940","Goya Yuca Rallada grated yuca","Frozen","2",""
"041331090988","Goya:Baked Rips Plantains","Frozen","2",""
"041331091299","Goya Peas And Carrots","Frozen","7",""
"041331091305","Goya Cut Okra","Frozen","3",""
"041331091312","Goya Peas Guisantes","General Food","9",""
"041331091398","Goya Green Beans - Cut","Frozen","3",""
"041331120012","Goya Guandules Verdes","General Food","28",""
"041331124027","Goya Red Kidney Beans","General Food","24",""
"041331124065","Goya Pink Beans","General Food","25",""
"041331124126","Goya Small White Beans","General Food","31",""
"041331124164","Goya Roman Beans","General Food","29",""
"041331124201","Goya Small Red Beans","General Food","18",""
"041331124225","Goya Chick Peas","General Food","15",""
"041331124263","Goya Blackeye Peas","General Food","15",""
"041331124379","Goya Pinto Beans","General Food","21",""
"041331124430","Goya Butter Beans","General Food","2",""
"041331124560","Goya Lentils","General Food","19",""
"041331124669","Goya frijoles Negros","General Food","18","$34.02"
"041331125314","Goya Tender Sweet Peas","General Food","31",""
"041331125536","Goya:Peas and Carrots","General Food","28",""
"041331125567","Goya Whole Kernel Golden Corn","General Food","77",""
"041331125659","Goya Mixed Vegetables","General Food","30",""
"041331125697","Goya Beets, Sliced","General Food","18",""
"041331125734","Goya:Sliced Carrots","General Food","24","$42.96"
"041331125819","Goya:Green Lima Beans","General Food","19",""
"041331125963","Goya White Hominy, Mote Blanco","General Food","3",""
"041331126625","Goya Arroz Amarillo","General Food","5",""
"041331631082","GOYA Extra virgen  oliven oil","General Food","1",""
"041333116013","Duracell Coppertop:9V Battery","Misc.","12",""
"041333213019","Duracell Coppertop D Alkaline Batteries","Customer Tab","2",""
"041333415017","Duracell Coppertop:Four Pack","General Food","7",""
"041383090707","Lactaid:100% Lactose Free Fat Free","Deli","1",""
"041383090714","Lactaid:100% Lactose Free Lowfat","Dairy","0",""
"041383090721","Lactaid:100% Lactose Free Reduced Fat","Dairy","2",""
"041383090738","Lactaid:Lactose Free Whole","Dairy","-19",""
"041387083262","4C:Itm-Sugar-Lemon","General Food","0",""
"041387530100","4C BC-Panko Seasoned","General Food","0",""
"041387530209","4C BC-Panko Plain","General Food","10",""
"041388000091","Blistex Lip Medex Medicated","Vitamins/Medicine","8",""
"041390000027","Kikkoman:Soy Sauce","General Food","11",""
"041390000058","Kikkoman:Teriyaki Canadian","General Food","12",""
"041500000428","French's:Bold N Spicy Brown Mustard","General Food","10",""
"041500053448","French's Classic Yellow","General Food","0",""
"041570056219","Blue Diamond Almonds:Vanilla","Drinks","-1",""
"041789001055","Maruchan Instant Lunch:Lime Flavor w/Shrimp","General Food","14",""
"041789001116","Maruchan:Instant Lunch, Lime Chili Chicken Flavor","General Food","21",""
"041789001154","Maruchan instant lunch lime chili","General Food","12",""
"041789001215","Maruchan Instant Lunch:Chicken","General Food","11",""
"041789001420","Maruchan Instant Lunch:Hot & Spicy Beef","General Food","6",""
"041789001437","Maruchan Instant Lunch:Hot & Spicy Chicken","General Food","2",""
"041789002113","Maruchan:Chicken","General Food","-14",""
"041789002168","Maruchan:Chili - Hot","General Food","0",""
"041789002175","Maruchan:Shrimp","General Food","-1",""
"041789003172","Maruchan:Lime Chili Shrimp Flavor","General Food","0",""
"041800302642","jugo","Drinks","6",""
"041800401277","Passion Fruit Flavored Fruit Juice Cocktail Blend","Drinks","-14",""
"041800401789","Welchs pasion fruit","Drinks","1",""
"042037111151","Bc 6pk Ea","Vitamins/Medicine","24",""
"042279271019","Sal Inglesa","Vitamins/Medicine","1",""
"042279373065","Malt Extract With Hemoglobin Fortified - 16 Oz - Dietary Supplement","Vitamins/Medicine","4",""
"042279376080","LA DRA . MILLER","Vitamins/Medicine","1",""
"042279578088","RABANO YODADO ORIGINAL","Vitamins/Medicine","3",""
"042400267157","MOM FARINA MILLS","General Food","5",""
"042743122496","El Mexicano Strawberry Banana Strawberry Saborico","Drinks","-3",""
"042743125510","El Mexicano:Strawberry Saborico","Drinks","-2",""
"042743125541","El Mexicano:Pina Colada Saborico Mexican Style Drinkable Yogurt","Drinks","-1",""
"042743170572","El Mexicano Strawberry Yogurt","Drinks","-5",""
"042743170602","ELMEXICANO YOGURT 28 FL. OZ.","Drinks","3",""
"042743170619","El Mexicano Strawberry-Banana Yogurt","Drinks","-10",""
"043000045824","Kool-Aid:Peach Mango Unsweetened","General Food","46",""
"043000200025","Jell-O:Raspberry","General Food","8",""
"043000200032","Jell-O Cherry","General Food","3",""
"043000200049","Jell-O Orange","General Food","5",""
"043000200261","Jell-O:Island Pineapple","General Food","2",""
"043000200407","Jell-O:Berry Blue","General Food","7",""
"043000953501","Kool-Aid:Tropical Punch","General Food","0",""
"043000953525","Kool-Aid Grape","General Food","4",""
"043000953532","Kool-Aid Cherry","General Food","6",""
"043000955314","Kool-Aid:Orange Unsweetened","General Food","48",""
"043000955437","Kool-Aid:Tropical Punch","General Food","43",""
"043000955444","Kool-Aid:Lemon-Lime","General Food","47",""
"043000955475","Kool-Aid:Twists Ice Blue Raspberry Lemonade Unsweetened","General Food","46",""
"043005001245","White eggs","Produce","0",""
"043456073501","Maggi:Seasoning Sauce","General Food","2",""
"043600006515","White house organic spple vinegar","General Food","4",""
"044000000578","Nabisco:Original - topped with Sea Salt","Snacks","2",""
"044000003821","Nabisco Premium Original","Snacks","3",""
"044000009298","Nabisco Ritz Bits Cheese","General Food","-18",""
"044000011703","Nabisco Mini Oreo","Snacks","6",""
"044000031114","Nabisco Ritz:Crackers","General Food","4",""
"044000031138","Nabisco Ritz Fresh Stacks:Original","Snacks","-1",""
"044000032197","Nabisco Chips Ahoy!","Snacks","0",""
"044000047009","Oreo","Snacks","-40",""
"044000054953","Premum whole grain","Snacks","4",""
"044000061494","Oreos mini","Snacks","4",""
"044000069919","Oreo cakesters","Snacks","1",""
"044000082147","Oreo golden double stuf","Snacks","2",""
"044600309705","Clorox Bleach Gel Bathroom Cleaner","Cleaning","0",""
"044600320700","KINGSFORD CHARCOAL","Customer Tab","6",""
"044600320960","Kingsford charcoal","Customer Tab","5",""
"044600322513","Clorox","Cleaning","3",""
"044600323367","Clorax","Cleaning","5",""
"044600323879","Clorox","Cleaning","4",""
"044600324173","Clorox no splash","Cleaning","4",""
"044600339108","Lestoil Multi-Purpose Grease & Stain Remover","Cleaning","8",""
"044800001027","Sweet 'n Low:Zero Calorie 3.5 Oz","General Food","4",""
"046158303921","John martin&sons bacON","Produce","3",""
"047416029775","Ducales Golden Delight Crackers","Snacks","41",""
"047416051288","Dux Wheat Crackers","Snacks","29",""
"047416231093","Festival vainilla","Snacks","1",""
"047416231116","Festival fresas","Snacks","-5",""
"047416231154","Festival chocolate","Snacks","6",""
"047416232977","Dux wheat brand honey","General Food","16",""
"047800000526","Accent Flavor Enhancer","General Food","19",""
"048000002563","VAN CAMPS Tuna","General Food","10",""
"048000250056","Van Camp's:Fancy Solid Light Yellowfin In Water","General Food","40",""
"048000250155","Van Camp's:Fancy Solid Light In Oil","General Food","29",""
"048000250261","VAN CAMPS Tuna","General Food","3",""
"048001012523","Norrr caldo de pollo","General Food","1",""
"048001213388","Hellman's Real Mayonnaise","General Food","0",""
"048001213487","hellmans","General Food","2",""
"048001214194","Knorr Hispanic:Tomato w/Chicken Flavor Cubes","General Food","8",""
"048001353664","Hellmann's Real Mayonnaise","General Food","8",""
"048001711044","Knorr Hispanic:Chicken Flavor","General Food","6",""
"048001711273","Maizena Fecula De Maiz","General Food","11",""
"048001711280","Knorr Hispanic:Chicken Flavor","General Food","7",""
"048500000021","Tropicana Ruby Red","Drinks","0",""
"048500001752","Tropicana Ruby Red Grapefruit","Drinks","20",""
"048500001769","Tropicana Apple Juice","Drinks","0",""
"048500008386","Tropicana Cranberry","Drinks","-4",""
"048500008607","Tropicana Orange Juice","Drinks","-3",""
"048500008614","Tropicana 100% Apple","Drinks","-2",""
"048500009406","Tropicana Ruby Red Grapefruit","Drinks","-2",""
"048500018330","Tropicana Pure Premium:No Pulp","Drinks","0",""
"048500021064","Tropicana Twister Tropical Punch","Drinks","4",""
"048500021231","Tropicana Fruit Punch","Drinks","6",""
"048500205471","Tropicana lemonade","Drinks","0",""
"048500205716","Not pulp tropicana","Drinks","1",""
"049000000443","Coca-Cola","Drinks","-18",""
"049000001327","Sprite","Drinks","14",""
"049000006346","Coca Cola","Drinks","-113",""
"049000006582","Diet Coke","Drinks","-11",""
"049000007640","Sprite","Drinks","-9",""
"049000009866","Inca Kola The Golden Kola","Drinks","-1",""
"049000014235","Fanta Orange","Drinks","15",""
"049000014273","Fanta:Pineapple04913207","Drinks","-1",""
"049000019162","Fanta Orange","Drinks","0",""
"049000026207","Fanta:Strawberry","Drinks","2",""
"049000026276","Fanta Grape","Drinks","5",""
"049000028201","Fanta Pineapple","Drinks","3",""
"049000050103","Coca-Cola","Drinks","-11",""
"049000050158","Sprite","Drinks","-29",""
"049000050240","Fanta Grape","Drinks","-5",""
"049000050257","Fanta Orange","Drinks","3",""
"049000050264","Fanta Pineapple","Drinks","-8",""
"049200042014","Domino Sugar","General Food","-8",""
"049200043509","Domino:Pure Cane Granulated","General Food","18",""
"049200045503","Domino: Sugar Pure Cane","General Food","-3",""
"049200056004","Domino:Dark Brown","General Food","20",""
"049200904992","DOMINO golgen sugar","General Food","13",""
"049200905968","Domino sugar","General Food","0",""
"050000010110","Nestle Carnation Evaporated Milk","General Food","47",""
"050000300624","Nestle Coffee-Mate Powder:Original Powder","General Food","3",""
"050000301522","Nestle Coffee-Mate Powder:Original Powder","General Food","2",""
"050000495900","Neatle","General Food","8",""
"050200001680","Sunny d","Drinks","20",""
"050200001697","Sunny D orange strawberry","Drinks","15",""
"050200008801","Sunny D:Tangy Original","Drinks","2",""
"050200500145","Sunny D","Drinks","11",""
"050200553103","Sunny D:Orange Strawberry","Drinks","1",""
"050200554100","Sunny D:Orange Strawberry","Drinks","-3",""
"050700001166","RED & WHITE CORN OIL","General Food","3",""
"050700011257","Red & White Sandwich Bags","Household","2",""
"050700018881","Red & White Macaroni","General Food","7",""
"050700020204","Red And White Evaporated Milk Whole","General Food","30",""
"050700021751","R And W Corn Oil","General Food","4",""
"050700021836","Red & White Vegetable Oil","General Food","0",""
"050700021867","Red And White Vegetable Oil","General Food","26",""
"050700028217","red & white sugar","General Food","-8",""
"050700031675","Red & White Sweetened Condensed Milk","General Food","7",""
"050700031811","Red & White Corn Oil","General Food","2",""
"050700086842","Red And White Pure Corn Oil","General Food","14",""
"050700563312","R&W Flap Ties Tall Kitchen Bags","Household","7",""
"050700563350","RED & WHITE TRASH BAGS 20 BAGS","Household","2",""
"051000012920","V8 Original: 100% Vegetable Juice","Drinks","-24",""
"051000027948","Prego 100% Natural Flavored w/Meat","General Food","3",""
"051000050434","Prego:100% Natural Three Cheese","General Food","3",""
"051000146533","V8 Splash:Berry Blend","Drinks","9",""
"051000146540","V8 Splash:Tropical Blend","Drinks","10",""
"051000146632","V8:Juice Beverage,  Fruit Medley","Drinks","5",""
"051000251114","V8 Splash","Drinks","10",""
"051000272935","V8 ENERGY peach mango","Drinks","10",""
"051000272942","V8 ENERGY pomegrate","Drinks","9",""
"051202008240","Country Club Raspberry Soda","Drinks","3",""
"051202008257","Country Club Merengue Soda","Drinks","26",""
"051202008288","Country Club Naranja Soda","Drinks","2",""
"051202008493","Tropical Strawberry Flavored Soda","Drinks","1",""
"051228637134","Guarina Saladitas","Snacks","-5",""
"051273110118","CLOVER BRAND COCONUT MULK","General Food","-9",""
"051500000878","Smucker's:Pineapple","General Food","4",""
"051500006863","Smucker's:Strawberry","General Food","3",""
"051500022085","Smucker's:Concord Grape","General Food","0",""
"051500255377","Extra Crunchy Peanut Butter","General Food","0",""
"052000010534","Gatorade Green Apple","Drinks","-5",""
"052000102475","Gatorade Glacier Cherry","Drinks","-4",""
"052000104141","G Series Perform Fierce Blue Cherry Sports Drink","Drinks","-2",""
"052000208054","Gatorade:G Series Perform Lemon-Lime","Drinks","39",""
"052000208061","Gatorade:Fruit Punch","Drinks","1",""
"052000208078","Gartodade G:Orange","Drinks","0",""
"052000324815","Gatorade G Series Cool Blue","Drinks","-3",""
"052000328660","Gatorade G Series Perform Fruit Punch","Drinks","-24",""
"052000328677","Gatorade G Series 02 Perform Orange","Drinks","-28",""
"052000328684","Gatorade Lemon-Lime","Drinks","-21",""
"052100049694","Caju","General Food","2",""
"053600000093","La Yogurt:Mixed Berry Blended Lowfat Yogurt","Deli","5",""
"053600000512","La Yogurt Probiotic Strawberry","Drinks","15",""
"054000200427","Scott 1000 Sheets","Hygiene","57",""
"054000472190","Scott","Hygiene","67",""
"054400000092","A.1. Original Sauce","General Food","0",""
"055270832127","Grace Drink Mango Carrot","Drinks","-1",""
"055270832332","Grace:Juice Drink from Concentrate, Reggae Medley","Drinks","0",""
"055270839454","Hot Pepper Sauce","General Food","11",""
"055270844151","Grace:Flavoured Noodle Soup Mix, Chicken","General Food","2",""
"055270844168","Grace:Cock","General Food","-1",""
"055270851333","Grace jerk seasoning","General Food","3",""
"055270851449","Grace:Jamaican Jerk Seasoning, Mild","General Food","1",""
"055270854037","Grace:Corned Beef with Juices","General Food","1",""
"055270953594","Grace Caribbean Trasition Coconut Milk","General Food","17",""
"055270961254","Grace Jack Mackerel In Tomato Sauce (15 Oz)","General Food","10",""
"055500014026","Clorox Clean-Up","Cleaning","4",""
"055500402892","Pinesol Lavender","Cleaning","5",""
"064144000142","pam non stick cooking oil","General Food","4",""
"064144043040","Chef Boyardee Lasagna","General Food","3",""
"064144043224","Chef Boyardee Spaghetti & Meatballs","General Food","4",""
"066613000059","Brunswick In Soybean Oil","General Food","78",""
"066613000097","Brunswick:in Spring Water - no Salt added","General Food","6",""
"066613111038","Brunswick:In Olive Oil 3.75 Oz Tin Overwrap","General Food","22",""
"068274360275","Pure live baby","Drinks","-7",""
"069000147689","Starbucks vanille","Drinks","4",""
"069000148969","Starbucks caramel","Drinks","3",""
"069298701259","Strawberry","Fruits","3",""
"070074407012","Ensure:Regular Creamy Milk Chocolate 8 Oz","Drinks","30",""
"070074407050","Ensure:Regular Strawberries & Cream 8 Oz","Drinks","9",""
"070074407074","Ensure:Plus Vanilla 8 Oz","Drinks","-25",""
"070074407111","Ensure: Original Nutrition Shake","Dairy","-16",""
"070074580500","Pediasure:Vanilla Shake 8 Fl Oz","Drinks","8",""
"070074580562","Pediasure:Strawberry Shake 8 Oz","Drinks","11",""
"070074580593","Pediasure:Chocolate Shake 8 Fl Oz","Drinks","19",""
"070074670966","Pediasure","Drinks","-7",""
"070074678429","Glucerna","Drinks","21",""
"070074678436","Glucerna","Drinks","20",""
"070074678443","Glucerna creamy Strowberry","Drinks","7",""
"070074803364","Pedialyte Unflavored","Vitamins/Medicine","5",""
"070594100257","Cafe Caribe Seleccion Suprema","General Food","6",""
"070662010013","Nissin Oriental","General Food","24",""
"070662010020","Top Ramen Beef Flavor","General Food","4",""
"070662010037","Nissin Top Ramen Chicken Flavor","General Food","-27",""
"070662010105","Top Ramen Shrimp Flavor","General Food","16",""
"070662026038","Top kichen soup","General Food","12",""
"070662030011","Cup Noodles:Beef Flavor","General Food","11",""
"070662030028","Cup Noodles w/Shrimp","General Food","20",""
"070662030035","Cup Noodles Chicken Flavor","General Food","7",""
"070662087206","Nissin:Teriyaki Beef Flavor","General Food","8",""
"070662087213","Nissin:Chicken Flavor","General Food","4",""
"070662087237","Nissin:Teriyaki Beef Flavor","General Food","-2",""
"070662096314","Bowl Noodles:Hot & Spicy Chicken","General Food","9",""
"070734005251","Celestial Seasonings Herbal Tea Caffeine Free Chamomile","General Food","0",""
"070734005299","Celestial Seasonings Herbal Tea Peppermint","General Food","4",""
"070847037750","Monster","Drinks","2",""
"070847811169","Monster Energy Drink","Drinks","50",""
"070920476339","Swiss Miss Milk Chocolate 11.04 OZ 313g","General Food","0",""
"071040063102","Polly-O Mozzarella Whole Milk","Deli","0",""
"071159000197","Corn Nuts:Ranch","Snacks","13",""
"071159001750","Corn Nuts:Chile Picante","Snacks","18",""
"071300000083","Ronzoni Spaghetti","General Food","-5",""
"071300000175","Ronzoni:Linguine","General Food","6",""
"071300000205","Ronzoni:Angel Hair","General Food","0",""
"071300000359","Ronzoni:Elbows","General Food","5",""
"071300000762","Ronzoni Penne Rigate","General Food","1",""
"071300000809","Ronzoni Lasagna","General Food","1",""
"071300001240","Ronzoni:Rotelle","General Food","1",""
"071300001325","Ronzoni:Fettuccine","General Food","0",""
"071300800522","Ronzoni Tri Color Rotini","General Food","6",""
"071429027503","Zatarain's:Seasoned Crispy Southern Style","General Food","2",""
"071582001655","non scrach sponge","Household","13",""
"071582001662","Comet scrub spinge","Household","19",""
"071845098309","Coco Lopez Real Cream Of Coconut","General Food","4",""
"072310003422","Lemon litf black tea","General Food","1",""
"072310003880","Bifelow Green Tea Classic","General Food","1",""
"072310003934","Mint medley","General Food","0",""
"072310003996","I love lemon","General Food","2",""
"072310004016","Cozy chamomile","Vitamins/Medicine","0",""
"072320600017","Chocolate Yan Yan","Snacks","2",""
"072320600024","Vanilla Yan Yan","Snacks","3",""
"072320600031","Yan yan strawberry creme","Snacks","3",""
"072350000207","Yoo-hoo Chocolate","Drinks","-33",""
"072350000511","Yoohoo Cookies &Cream","Drinks","1",""
"072486002205","Jiffy Corn Muffin Mix","General Food","7",""
"072728002062","Victorina pasta tomate","General Food","3",""
"072785143883","MAGNESIUM CITRATE","Vitamins/Medicine","2",""
"072820320446","Queso cotija","Deli","2",""
"072878275231","Herdez:Casera","General Food","1",""
"072878515276","Dona Maria:Tender Cactus","General Food","0",""
"073260000011","Golden Blossom:Genuine Natural Pure Honey","General Food","7",""
"073260000059","Golden Blosom Honey","General Food","17",""
"073260000080","Golden Blossom:Genuine Natural Pure Honey","General Food","7",""
"073420000066","Daisy:Sour Cream","Dairy","2",""
"073420000110","Daisy:Sour Cream","Dairy","2",""
"073420000240","Daisy:Sour Cream","Deli","0",""
"073420016142","Daysi Sour Cream","Deli","4",""
"074030000040","Sorrento:Mozzarella Cheese, Low Moisture Part Skim","Deli","2",""
"074090715151","Coco Rico:Soda, Coconut","Drinks","-35",""
"074300081939","Bengay Ultra Strength Rojo","Vitamins/Medicine","2",""
"074305001161","Bragg:Raw - Unfiltered - with The 'Mother'","General Food","0",""
"074305001321","Bragg:Raw - Unfiltered - with The 'Mother'","General Food","0",""
"074471000500","Cafe Bustelo","General Food","0",""
"074471011117","Bustelo Supreme Cafe Instantaneo","General Food","6",""
"074471017102","Cafe Bustelo Dark Roast","Produce","0",""
"074471017201","Cafe Bustelo Dark Roast","General Food","27",""
"074780000703","Perrier Sparkling Natural Mineral Water","Drinks","1",""
"074904060101","Pineaple","Fruits","-10",""
"074904060118","Pineapple","Fruits","19",""
"075707011000","Cocoa butter","Misc.","-1",""
"075720000043","Poland Spring Natural Spring Water","Drinks","-53",""
"075720000715","Poland Spring Water","Drinks","1",""
"075720000814","Poland Spring","Drinks","59",""
"075720334117","Poland Spring:Deposit","Drinks","-44",""
"075720431151","Poland Spring Flip Cap Sport","Drinks","16",""
"076150232486","Act Il Butter Lovers Microwave Popcorn","General Food","41",""
"076183003138","Snapple Fruit Punch","Drinks","21",""
"076183003282","Snaper","Drinks","17",""
"076183202005","Snapple:Lemon","Drinks","3",""
"076183202036","Snapple:Kiwi Strawberry","Drinks","-2",""
"076183202081","Snapple:Juice Drink, Snapple Apple","Drinks","42",""
"076397031507","La Costena Refried Pinto Beans","General Food","16",""
"076397032504","La Costena Refried black Beans","General Food","3",""
"076523115446","El Faro Pan Sobao","Snacks","12",""
"076523115484","El Faro Coconut Pastry","Snacks","2",""
"076523115491","El Farro Galletas","General Food","12",""
"076583115424","Coconete","Snacks","11",""
"076677100145","Famous Amos Chocolate Chip","Snacks","-53",""
"076808280739","Barilla:Penne","General Food","3",""
"076808515589","Barilla:Lasagne","General Food","4",""
"076808516135","Barilla:Chifferi","Household","2",""
"076808535570","Barilla Piccolini:Mini Farfalle","General Food","5",""
"076809300207","Linden`s Butter Crunch Cookies","Snacks","6",""
"078000001143","canada dry ginger ale can","Drinks","3",""
"078000001273","Canada Dry Seltzer","Drinks","29",""
"078000001303","Lemon Lime Sparkling Seltzer Water","Drinks","30",""
"078000002744","Sunkist Orange","Drinks","6",""
"078000002850","Sunkist:Grape","Drinks","12",""
"078000003468","Schweppes Ginger Ale","Drinks","-27",""
"078000009118","Crush Soda Orange","Drinks","5",""
"078000016406","Squirt Caffeine Free","Drinks","6",""
"078000147407","Canada Dry Sparkling Seltzer - Original","Drinks","-32",""
"078000147469","Canada Dry Sparkling Seltzer - Original","Drinks","-8",""
"078000152463","Canada Dry Ginger Ale","Drinks","-36",""
"078000153453","Canada Dry Tonic Water","Drinks","2",""
"078000201307","GUNGEE ALE","Drinks","4",""
"078000206463","Schweppes Ginger Ale","Drinks","-29",""
"078742235028","towels","Hygiene","11",""
"078776147762","Honey Ginger Tea","General Food","0",""
"079068003100","Swan 50% Isopropyl Alcohol w/ wintergreen","Vitamins/Medicine","9",""
"079068004350","Swan Calamine Lotion","Vitamins/Medicine","6",""
"079400205704","Degree Men:Cool Comfort For Sensitive Skin","Hygiene","3",""
"081356432011","CRISTINA GALLETAS","General Food","-23",""
"081537200057","Del Frutal Peach Juice","Drinks","15",""
"081537200101","Del Frutal Apple Nectar","Drinks","0",""
"081537200125","Nectar Del Frutal Mango","Drinks","6",""
"081553121107","Malta India","Drinks","-16",""
"081553121701","Malta India","Drinks","-25",""
"083703301940","Arnica","Produce","6",""
"084562750436","EKO MUTTON TALLOW Size: 1 OZ","Vitamins/Medicine","3",""
"086106152584","Oatmeal cookies","Snacks","8",""
"086106152607","Iced oatmeal","General Food","3",""
"086106152683","Coconut bar","Snacks","9",""
"086106152904","Lemon bar","Snacks","12",""
"086581010881","Chiky","Snacks","8",""
"086581211301","Club","Snacks","11",""
"086600000053","Bumble Bee Albacore Solid White In Water","General Food","35",""
